PerformanceID,EmployeeID,Year,Rating,WorkLifeBalance,PromotionLast2Years
1,1,2019,3,4,0
2,2,2022,3,4,0
3,3,2021,4,4,0
4,4,2021,5,4,0
5,5,2018,3,3,0
6,6,2018,5,4,1
7,7,2023,4,3,0
8,8,2019,4,1,0
9,9,2023,3,2,0
10,10,2018,5,2,0
11,11,2020,4,3,0
12,12,2019,3,3,0
13,13,2020,4,2,0
14,14,2023,2,4,0
15,15,2018,2,3,0
16,16,2019,3,4,0
17,17,2023,4,3,0
18,18,2021,3,3,0
19,19,2023,1,1,0
20,20,2022,3,1,0
21,21,2021,3,2,0
22,22,2020,2,1,1
23,23,2021,2,1,0
24,24,2023,4,2,0
25,25,2021,3,4,0
26,26,2022,3,1,1
27,27,2023,4,4,0
28,28,2022,5,2,0
29,29,2021,4,3,0
30,30,2022,2,4,0
31,31,2021,2,2,0
32,32,2019,3,4,1
33,33,2021,2,2,1
34,34,2018,4,2,0
35,35,2022,3,3,0
36,36,2022,4,4,1
37,37,2020,4,3,0
38,38,2020,3,3,0
39,39,2018,5,4,0
40,40,2022,2,4,0
41,41,2022,1,2,0
42,42,2020,1,4,1
43,43,2020,1,2,0
44,44,2021,2,2,0
45,45,2023,5,2,0
46,46,2022,4,2,0
47,47,2022,3,2,0
48,48,2021,5,2,0
49,49,2022,1,4,0
50,50,2018,2,4,0
51,51,2020,2,1,0
52,52,2020,3,4,0
53,53,2023,4,3,0
54,54,2020,5,1,0
55,55,2019,5,4,0
56,56,2018,5,3,0
57,57,2018,4,4,0
58,58,2021,4,2,0
59,59,2019,4,1,0
60,60,2022,3,2,0
61,61,2023,2,1,0
62,62,2018,1,1,0
63,63,2019,4,2,0
64,64,2019,2,1,0
65,65,2018,4,1,0
66,66,2021,1,4,0
67,67,2019,4,3,0
68,68,2020,2,2,0
69,69,2019,3,4,0
70,70,2022,1,4,0
71,71,2018,2,2,0
72,72,2022,5,1,1
73,73,2021,5,2,0
74,74,2023,5,3,1
75,75,2020,3,3,0
76,76,2018,4,2,1
77,77,2019,4,4,0
78,78,2020,4,2,0
79,79,2019,3,3,0
80,80,2021,5,2,0
81,81,2023,4,1,0
82,82,2018,3,2,0
83,83,2021,3,4,1
84,84,2021,2,1,0
85,85,2023,4,3,0
86,86,2021,5,2,0
87,87,2021,1,4,1
88,88,2019,3,4,0
89,89,2022,2,3,0
90,90,2019,1,2,0
91,91,2023,3,4,0
92,92,2020,2,1,1
93,93,2023,4,2,0
94,94,2023,2,3,0
95,95,2023,3,1,0
96,96,2023,4,2,0
97,97,2021,5,4,0
98,98,2023,2,3,0
99,99,2020,1,3,0
100,100,2023,4,2,0
101,101,2019,4,3,0
102,102,2021,5,1,0
103,103,2019,2,2,1
104,104,2021,1,1,1
105,105,2019,5,3,0
106,106,2018,2,3,0
107,107,2022,1,3,0
108,108,2022,1,1,0
109,109,2021,3,3,0
110,110,2018,1,2,0
111,111,2020,2,4,0
112,112,2018,5,2,0
113,113,2021,5,4,0
114,114,2018,3,3,0
115,115,2020,2,2,0
116,116,2021,1,1,0
117,117,2022,3,4,0
118,118,2023,4,1,0
119,119,2018,2,4,0
120,120,2022,3,3,0
121,121,2022,5,2,0
122,122,2019,3,4,0
123,123,2020,4,2,0
124,124,2023,2,4,1
125,125,2018,3,4,0
126,126,2022,1,3,0
127,127,2022,2,4,0
128,128,2020,3,1,0
129,129,2023,3,4,1
130,130,2023,2,4,0
131,131,2022,5,4,0
132,132,2022,1,3,0
133,133,2022,2,2,0
134,134,2022,1,2,1
135,135,2019,1,3,0
136,136,2019,2,1,0
137,137,2023,3,1,1
138,138,2021,5,3,0
139,139,2018,1,2,0
140,140,2020,1,1,0
141,141,2021,3,3,0
142,142,2019,2,2,0
143,143,2019,5,1,0
144,144,2019,1,1,0
145,145,2021,1,3,1
146,146,2019,2,2,0
147,147,2021,3,1,0
148,148,2019,4,3,0
149,149,2022,3,1,0
150,150,2022,1,2,0
151,151,2018,1,4,1
152,152,2019,5,1,0
153,153,2018,3,2,1
154,154,2021,4,1,0
155,155,2018,5,4,0
156,156,2019,4,4,0
157,157,2021,5,1,0
158,158,2021,3,3,0
159,159,2022,1,1,0
160,160,2021,4,2,0
161,161,2021,3,3,1
162,162,2018,4,2,0
163,163,2023,3,2,0
164,164,2021,5,3,0
165,165,2020,3,4,0
166,166,2023,5,2,0
167,167,2022,1,1,0
168,168,2022,5,4,0
169,169,2021,2,4,0
170,170,2018,1,3,1
171,171,2023,3,1,1
172,172,2022,3,1,0
173,173,2022,2,4,0
174,174,2020,3,2,0
175,175,2021,1,2,0
176,176,2023,1,1,0
177,177,2022,5,4,0
178,178,2022,4,4,0
179,179,2022,3,4,0
180,180,2022,2,3,0
181,181,2018,1,1,0
182,182,2019,1,1,0
183,183,2020,1,2,0
